Foundation URI,Linearization (release) URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,PrimaryLocation,ChapterNo,BrowserLink,isLeaf,noOfNonResidualChildren,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5,Version:2026 Apr 15 - 14:33 UTC
http://id.who.int/icd/entity/1435254666,http://id.who.int/icd/release/11/beta/mms/1435254666,,,Certain infectious or parasitic diseases,chapter,1,False,True,01,browser,False,22,,,,,,,
http://id.who.int/icd/entity/588616678,http://id.who.int/icd/release/11/beta/mms/588616678,,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,block,1,False,True,01,browser,False,5,,,,,,,
http://id.who.int/icd/entity/135352227,http://id.who.int/icd/release/11/beta/mms/135352227,,BlockL2-1A0,- - Bacterial intestinal infections,block,2,False,True,01,browser,False,8,,BlockL1-1A0,,,,,
http://id.who.int/icd/entity/257068234,http://id.who.int/icd/release/11/beta/mms/257068234,1A00,,- - - Cholera,category,1,False,True,01,browser,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/416025325,http://id.who.int/icd/release/11/beta/mms/416025325,1A01,,- - - Intestinal infection due to other Vibrio,category,1,False,True,01,browser,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/2080365623,http://id.who.int/icd/release/11/beta/mms/2080365623,1A02,,- - - Intestinal infections due to Shigella,category,1,False,True,01,browser,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/344162786,http://id.who.int/icd/release/11/beta/mms/344162786,1A03,,- - - Intestinal infections due to Escherichia coli,category,1,False,True,01,browser,False,4,True,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/2099226249,http://id.who.int/icd/release/11/beta/mms/2099226249,1A03.0,,- - - - Enteropathogenic Escherichia coli infection,category,2,False,True,01,browser,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/408185629,http://id.who.int/icd/release/11/beta/mms/408185629,1A03.1,,- - - - Enterotoxigenic Escherichia coli infection,category,2,False,True,01,browser,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/1828273122,http://id.who.int/icd/release/11/beta/mms/1828273122,1A03.2,,- - - - Enteroinvasive Escherichia coli infection,category,2,False,True,01,browser,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/162723448,http://id.who.int/icd/release/11/beta/mms/162723448,1A03.3,,- - - - Enterohaemorrhagic Escherichia coli infection,category,2,False,True,01,browser,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
,http://id.who.int/icd/release/11/beta/mms/344162786/other,1A03.Y,,- - - - Intestinal infections due to other specified Escherichia coli,category,2,True,True,01,browser,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
,http://id.who.int/icd/release/11/beta/mms/344162786/unspecified,1A03.Z,,"- - - - Intestinal infections due to Escherichia coli, unspecified",category,2,True,True,01,browser,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/250688797,http://id.who.int/icd/release/11/beta/mms/250688797,1A04,,- - - Intestinal infections due to Clostridioides difficile,category,1,False,True,01,browser,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/1000894786,http://id.who.int/icd/release/11/beta/mms/1000894786,1A05,,- - - Intestinal infections due to Yersinia enterocolitica,category,1,False,True,01,browser,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/794462570,http://id.who.int/icd/release/11/beta/mms/794462570,1A06,,- - - Gastroenteritis due to Campylobacter,category,1,False,True,01,browser,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
http://id.who.int/icd/entity/1561949126,http://id.who.int/icd/release/11/beta/mms/1561949126,,BlockL3-1A0,- - - Intestinal infections due to Salmonella,block,3,False,True,01,browser,False,3,,BlockL1-1A0,BlockL2-1A0,,,,
